,id,year,manufacturer,model,fuel,odometer,transmission
18587,7039145560,1993.0,37,1276,2,99164.34544628662,1
18588,7039141916,1998.0,35,2465,2,99164.34544628662,0
18589,7039119684,1971.0,9,1115,2,99164.34544628662,0
18590,7039119426,2014.0,13,4122,4,67385.0,0
18591,7039119348,2017.0,17,3000,2,22051.0,2
18592,7039119251,2014.0,22,2356,2,50496.0,0
18593,7039114186,2002.0,38,2859,2,99164.34544628662,0
18594,7039107205,2001.0,29,3242,2,134000.0,0
18595,7039041745,1999.0,35,2796,2,163361.0,0
18596,7039038211,2002.0,12,1709,2,213000.0,0
18597,7039017753,1991.0,7,3367,2,234685.0,0
18598,7038994915,2016.0,13,3327,0,103000.0,0
18599,7038968199,2001.0,3,732,2,197000.0,1
18600,7038937442,2011.0,12,1857,2,99000.0,0
18601,7038909133,2015.0,15,2005,2,19956.0,1
18602,7038908935,2018.0,20,3523,2,12347.0,0
18603,7038908834,2017.0,20,3081,2,9877.0,1
18604,7038908707,2017.0,24,1386,2,19048.0,0
18605,7038907648,2011.0,4,4029,2,52247.0,0
18606,7038907379,2010.0,3,2971,2,55304.0,2
18607,7038907294,2012.0,4,4026,2,62049.0,0
18608,7038907178,2008.0,17,2137,2,82613.0,2
18609,7038905475,2007.0,7,3418,0,110000.0,0
18610,7038727541,2017.0,32,58,2,26309.0,0
18611,7038724147,2018.0,37,372,2,43248.0,0
18612,7038720513,2013.0,12,1906,2,61214.0,0
18613,7038903766,2015.0,15,2002,2,99164.34544628662,0
18614,7038888071,2012.0,38,2842,0,77059.0,0
18615,7038887596,2007.0,4,275,2,119000.0,0
18616,7038801033,2003.0,23,2743,2,193000.0,0
18617,7038770027,2005.0,12,1798,0,69000.0,0
18618,7038765713,2000.0,37,1277,2,163000.0,0
18619,7038745186,2012.0,29,834,2,110958.0,0
18620,7038742568,2014.0,12,1862,2,127071.0,0
18621,7038739819,2011.0,19,3997,2,77665.0,0
18622,7038736920,2011.0,13,3297,2,202479.0,0
18623,7038733971,2017.0,37,3653,2,35302.0,0
18624,7038731449,2018.0,32,305,0,28419.0,0
18625,7038730746,2011.0,12,1862,2,119611.0,0
18626,7038717101,2018.0,12,1995,2,41873.0,0
18627,7038712847,2015.0,32,66,2,55681.0,0
18628,7038711577,2017.0,9,1469,2,44338.0,0
18629,7038709143,2018.0,12,2026,2,23336.0,0
18630,7038705168,2014.0,32,71,2,83527.0,0
18631,7038703180,2016.0,39,3898,2,34636.0,0
18632,7038700965,2015.0,8,124,2,45875.0,0
18633,7038696525,2018.0,20,2076,2,8076.0,0
18634,7038696531,2017.0,35,2817,2,37899.0,0
18635,7038692079,2019.0,16,2441,2,17992.0,0
18636,7038689550,2018.0,19,2529,2,32753.0,0
18637,7038687344,2015.0,38,2393,0,61982.0,0
18638,7038686814,2015.0,37,3621,2,39000.0,1
18639,7038682568,2017.0,12,2731,2,21490.0,0
18640,7038682189,2018.0,9,2206,2,45090.0,0
18641,7038682167,2003.0,37,3880,2,206355.0,0
18642,7038678517,2017.0,20,3081,2,9877.0,1
18643,7038678438,2012.0,15,2008,2,19514.0,1
18644,7038678393,2017.0,24,1386,2,19048.0,0
18645,7038678326,2013.0,16,1567,2,126000.0,0
18646,7038677673,2017.0,32,66,2,20193.0,0
18647,7038675590,2013.0,38,903,2,21994.0,0
18648,7038667308,2005.0,7,3407,2,27691.0,0
18649,7038666512,2014.0,7,3394,2,90558.0,0
18650,7038664773,2015.0,19,3967,2,65239.0,0
18651,7038663585,2004.0,15,1579,2,198250.0,0
18652,7038662828,2008.0,7,3780,2,99164.34544628662,0
18653,7038661806,2016.0,32,1381,0,39682.0,0
18654,7038658005,2015.0,7,3671,2,69479.0,0
18655,7038656246,2016.0,38,2388,2,18002.0,0
18656,7038650533,2019.0,15,771,2,4758.0,1
18657,7038650052,2016.0,15,3565,2,403.0,1
18658,7038648888,2018.0,12,1671,2,13041.0,0
18659,7038644404,2018.0,19,3998,2,31316.0,0
18660,7038639776,2018.0,35,1326,2,32208.0,0
18661,7038638420,2018.0,37,372,2,31592.0,0
18662,7038631892,2018.0,37,2508,2,31383.0,0
18663,7038629973,2014.0,29,2098,2,108009.0,0
18664,7038627899,2007.0,17,2142,2,12000.0,0
18665,7038625929,2014.0,22,2247,2,36700.0,0
18666,7038625312,2015.0,32,2895,2,58101.0,0
18667,7038625267,2018.0,19,3998,2,39562.0,0
18668,7038625164,2016.0,7,1342,2,47315.0,0
18669,7038624988,2012.0,38,2850,2,58200.0,1
18670,7038624241,2017.0,15,801,2,43000.0,0
18671,7038623642,2017.0,16,3492,2,23600.0,0
18672,7038619887,2009.0,35,2796,2,109500.0,0
18673,7038619399,2017.0,32,76,2,22411.0,0
18674,7038618802,2006.0,15,1163,2,156000.0,0
18675,7038618309,2008.0,19,4001,2,73415.0,0
18676,7038617954,2009.0,12,2021,2,78132.0,0
18677,7038614056,2012.0,20,3517,2,50000.0,0
18678,7038611032,2013.0,19,2528,2,50618.0,1
18679,7038608310,2012.0,38,3761,0,83400.0,0
18680,7038555690,2017.0,9,2412,2,46362.0,0
18681,7038605200,2017.0,29,2760,2,65000.0,0
18682,7038603785,2018.0,7,1622,2,28939.0,0
18683,7038597042,2013.0,9,2413,2,101928.0,0
18684,7038596357,2017.0,32,75,2,52350.0,0
18685,7038595861,2016.0,4,232,2,40359.0,0
18686,7038595665,2012.0,12,1764,2,77535.0,0
18687,7038592562,2012.0,12,1976,2,122241.0,0
18688,7038588507,2014.0,32,23,2,66498.0,0
18689,7038584969,2010.0,37,3865,2,130166.0,0
18690,7038580539,2014.0,19,2225,2,72230.0,0
18691,7038573799,2016.0,29,2707,2,99164.34544628662,0
18692,7038573454,2002.0,12,79,2,99164.34544628662,0
18693,7038572556,2019.0,7,1622,2,7564.0,0
18694,7038567617,2009.0,19,3967,2,98994.0,0
18695,7038567476,2015.0,13,3285,2,92350.0,0
18696,7038564081,2015.0,29,2098,2,63766.0,0
18697,7038559671,2018.0,37,375,2,21048.0,0
18698,7038547012,2015.0,12,1905,2,64990.0,0
18699,7038546403,2018.0,12,2515,0,36573.0,0
18700,7038541433,2016.0,12,1709,2,90000.0,0
18701,7038538171,2017.0,35,2327,2,44360.0,0
18702,7038535797,2011.0,3,2982,0,85645.0,0
18703,7038535612,2014.0,12,1764,2,106012.0,0
18704,7038532466,2007.0,13,2521,0,68453.0,0
18705,7038529730,2014.0,32,71,2,57093.0,0
18706,7038519823,2016.0,9,2408,2,87612.0,0
18707,7038518398,2019.0,7,1622,2,33051.0,0
18708,7038510354,2017.0,13,3344,0,16232.0,0
18709,7038503559,2014.0,13,3305,2,102078.0,0
18710,7038501513,2011.0,19,3998,2,59953.0,1
18711,7038501317,2016.0,13,3285,2,64283.0,0
18712,7038500724,2015.0,9,1474,2,52077.0,0
18713,7038496200,1996.0,12,2783,2,151888.0,0
18714,7038494469,1986.0,7,2892,2,99164.34544628662,0
18715,7038491143,2014.0,8,3770,2,95755.0,0
18716,7038489423,2014.0,7,3367,2,89003.0,0
18717,7038488751,2012.0,19,3990,2,95902.0,1
18718,7038481127,2019.0,9,1471,2,13285.0,0
18719,7038480859,2015.0,7,3664,2,52872.0,0
18720,7038477878,2012.0,13,3285,2,103788.0,0
18721,7038476109,2011.0,5,2447,2,124791.0,0
18722,7038475016,2015.0,12,1939,0,39500.0,0
18723,7038473284,2014.0,7,1344,2,70201.0,1
18724,7038470818,2019.0,35,4007,2,6929.0,1
18725,7038465876,2011.0,25,985,2,93523.0,0
18726,7038465656,2016.0,19,3967,2,38765.0,0
18727,7038460245,2013.0,12,1869,2,111113.0,0
18728,7038457275,2016.0,32,71,2,57503.0,0
18729,7038450182,2016.0,12,1905,2,51269.0,0
18730,7038441350,2012.0,7,3391,2,40908.0,0
18731,7038439606,2019.0,19,2219,2,15688.0,0
18732,7038438503,2016.0,29,2989,2,35811.0,0
18733,7038438288,2005.0,29,2088,2,144762.0,0
18734,7038429130,2016.0,12,1727,2,38768.0,0
18735,7038427437,2014.0,37,3862,4,59301.0,0
18736,7038427299,2017.0,13,4122,4,31469.0,0
18737,7038427122,2013.0,12,647,2,64330.0,0
18738,7038427019,2016.0,37,1278,2,45602.0,2
18739,7038426893,2014.0,13,3300,4,87235.0,0
18740,7038426898,2012.0,12,1764,2,130022.0,0
18741,7038426541,2018.0,35,2045,2,24979.0,2
18742,7038425998,2014.0,35,2045,2,82841.0,2
18743,7038424851,2010.0,32,1461,0,89833.0,0
18744,7038418507,2019.0,12,3683,2,11278.0,0
18745,7038408327,2018.0,19,3066,2,41333.0,0
18746,7038407578,2018.0,12,1905,2,15657.0,0
18747,7038397158,2018.0,9,1475,2,30490.0,0
18748,7038392628,2007.0,4,4031,2,99164.34544628662,0
18749,7038392287,2016.0,12,2026,2,74970.0,0
18750,7038389095,2016.0,22,2352,2,26098.0,0
18751,7038388573,2011.0,13,3310,2,157682.0,0
18752,7038386568,2012.0,3,2985,0,97896.0,0
18753,7038375894,2017.0,37,373,2,23954.0,0
18754,7038375756,2012.0,37,3647,2,136905.0,0
18755,7038371115,2019.0,32,17,2,13538.0,0
18756,7038371001,2013.0,32,17,2,53996.0,0
18757,7038370859,2017.0,13,3285,2,50278.0,0
18758,7038370838,2015.0,13,4125,2,59525.0,0
18759,7038370724,2017.0,29,813,2,50462.0,0
18760,7038370659,2018.0,19,1244,2,31632.0,0
18761,7038370628,2018.0,35,2040,2,24026.0,0
18762,7038370465,2019.0,19,1244,2,31749.0,0
18763,7038370384,2015.0,7,3369,2,48029.0,0
18764,7038370351,2017.0,19,3062,2,21500.0,0
18765,7038370276,2018.0,19,1244,2,28905.0,0
18766,7038370225,2016.0,7,1614,2,56140.0,0
18767,7038370269,2018.0,19,3062,2,41333.0,0
18768,7038370184,2016.0,37,2275,2,40532.0,0
18769,7038370169,2017.0,29,2419,2,22492.0,2
18770,7038370023,2012.0,15,2008,2,19514.0,1
18771,7038369987,2015.0,7,1030,2,52010.0,0
18772,7038369975,2016.0,29,3242,2,50342.0,0
18773,7038369919,2015.0,12,2021,2,39847.0,1
18774,7038369822,2018.0,37,1276,2,35273.0,0
18775,7038369713,2016.0,19,1244,2,52018.0,0
18776,7038369638,2016.0,8,241,2,51659.0,0
18777,7038369570,2013.0,16,1567,2,126000.0,0
18778,7038369502,2019.0,20,3503,2,28533.0,0
18779,7038369398,2018.0,35,2040,2,33017.0,0
18780,7038369376,2015.0,15,2005,2,19956.0,1
18781,7038369479,2014.0,37,3863,2,66384.0,0
18782,7038369339,2015.0,38,2842,2,65067.0,0
18783,7038369370,2016.0,19,1244,2,58213.0,0
18784,7038369058,2019.0,19,3994,2,14598.0,0
18785,7038369040,2018.0,19,3062,2,41095.0,0
18786,7038368928,2018.0,19,3062,2,41467.0,0
18787,7038368757,2015.0,32,166,0,28205.0,0
18788,7038368758,2019.0,19,3994,2,12272.0,0
18789,7038368630,2016.0,35,4010,2,21752.0,1
18790,7038368537,2019.0,19,3994,2,10756.0,0
18791,7038368574,2017.0,13,3698,2,69174.0,0
18792,7038368461,2019.0,20,3514,2,12020.0,0
18793,7038368369,2016.0,37,3863,2,37129.0,0
18794,7038368217,2014.0,19,3994,2,35939.0,0
18795,7038368124,2018.0,15,799,2,37319.0,0
18796,7038367446,2016.0,4,216,2,18955.0,0
18797,7038367130,2014.0,17,2999,2,56092.0,2
18798,7038366949,2013.0,4,380,2,58730.0,0
18799,7038366752,2016.0,24,1385,2,59576.0,0
18800,7038366721,2016.0,32,17,2,25423.0,0
18801,7038366510,2017.0,9,1100,2,27656.0,1
18802,7038366556,2017.0,9,1100,2,28604.0,0
18803,7038366324,2017.0,13,3336,0,16112.0,0
18804,7038366329,2016.0,37,361,2,52584.0,0
18805,7038366229,2019.0,19,3994,2,11361.0,0
18806,7038365548,2018.0,9,1469,2,28187.0,0
18807,7038365257,2018.0,5,1599,2,27888.0,0
18808,7038364270,2013.0,12,1764,2,48520.0,0
18809,7038364118,2015.0,32,17,2,65757.0,0
18810,7038364049,2018.0,24,1387,2,24042.0,0
18811,7038363950,2016.0,32,17,2,55001.0,0
18812,7038363925,2019.0,7,3664,2,36554.0,0
18813,7038359392,2014.0,32,66,2,117526.0,0
18814,7038354765,2016.0,12,2731,2,58304.0,0
18815,7038344589,2017.0,12,1719,2,19904.0,0
18816,7038343743,2012.0,32,1456,0,83542.0,0
18817,7038342240,2011.0,3,714,0,52021.0,0
18818,7038334515,2012.0,38,3759,0,81729.0,0
18819,7038328621,2012.0,13,4111,2,122822.0,0
18820,7038324991,2015.0,9,1106,2,23837.0,1
18821,7038320033,2012.0,12,1514,2,128000.0,0
18822,7038314866,2016.0,29,834,2,64289.0,0
18823,7038313509,2011.0,12,1905,2,107735.0,0
18824,7038306023,2011.0,38,3759,0,88010.0,0
18825,7038300085,2013.0,12,1906,2,51119.0,0
18826,7038297526,2010.0,7,1043,2,39603.0,0
18827,7038288863,2017.0,13,3702,2,69174.0,0
18828,7038286686,2015.0,29,2701,2,66012.0,0
18829,7038280499,2013.0,12,1861,2,88580.0,0
18830,7038274654,2010.0,19,3998,2,94944.0,0
18831,7038201674,1999.0,7,3142,2,98621.0,1
18832,7038159080,1998.0,0,120,2,178778.0,0
18833,7038142037,2018.0,9,2206,2,50271.0,0
18834,7038141744,2004.0,9,1764,2,182000.0,1
18835,7038118156,2018.0,9,2206,2,50810.0,0
18836,7038106909,2012.0,7,3413,2,99164.34544628662,0
18837,7038102037,2015.0,4,232,2,52557.0,0
18838,7038097740,2011.0,7,3397,2,99164.34544628662,0
18839,7038085542,2014.0,7,3525,2,76882.0,1
18840,7038081011,2017.0,29,2419,2,22492.0,2
